1.2800000e+02_C_   1.7900000e+02_C
  1.6289796  -25.8302872
  1.8450163   26.1697128
  0.9742870   26.1697128
  0.5306504  -25.8302872
  1.0402175  -25.8302872
  1.0546420  -25.8302872
  0.0811913  -25.8302872
 -1.3955819   26.1697128
 -2.8835978   26.1697128
 -3.1513419   26.1697128
 -1.8165575   26.1697128
  0.0895151  -25.8302872
  2.0414591  -25.8302872
  2.7907746   26.1697128
  1.9465508   26.1697128
  1.5164188   26.1697128
  2.2780666   26.1697128
  3.4017261  -25.8302872
  4.2194306  -25.8302872
  4.1456511  -25.8302872
  2.8820604  -25.8302872
  0.7670609  -25.8302872
 -1.2913313  -25.8302872
 -3.0756821  -25.8302872
 -4.7204089  -25.8302872
 -6.0487971  -25.8302872
 -6.9708110  -25.8302872
 -7.6857770  -25.8302872
 -8.2952522  -25.8302872
 -8.6057798   26.1697128
 -8.7639936   26.1697128
 -7.8638036  -25.8302872
 -5.6887568  -25.8302872
 -4.0901704  -25.8302872
 -4.0112906  -25.8302872
 -4.9519014   26.1697128
 -5.9215426   26.1697128
 -5.4347748  -25.8302872
 -3.7155666  -25.8302872
 -2.8396300   26.1697128
 -2.8837403   26.1697128
 -2.4158145   26.1697128
 -0.9514063   26.1697128
  0.7755097  -25.8302872
  2.1457733  -25.8302872
  2.5987227   26.1697128
  1.8487004   26.1697128
  1.2213640   26.1697128
  1.8825361   26.1697128
  3.2002033  -25.8302872
  4.3619548  -25.8302872
  4.4634671   26.1697128
  3.2891877   26.1697128
  2.4456923   26.1697128
  2.7515314   26.1697128
  3.6429564  -25.8302872
  4.5875375  -25.8302872
  4.3332015  -25.8302872
  2.7324173  -25.8302872
  0.9360178   26.1697128
 -0.7148477   26.1697128
 -1.3107638  -25.8302872
 -0.6335830  -25.8302872
 -0.2885593  -25.8302872
 -1.0935698  -25.8302872
 -2.4845226  -25.8302872
 -3.9288131  -25.8302872
 -5.1550791  -25.8302872
 -6.2702616  -25.8302872
 -7.0836471  -25.8302872
 -7.7432670  -25.8302872
 -8.3245434  -25.8302872
 -8.6207037  -25.8302872
 -8.7715973   26.1697128
 -8.8484777   26.1697128
 -8.1520482   26.1697128
 -6.0808174   26.1697128
 -3.3091253  -25.8302872
 -0.9161482  -25.8302872
  0.0578737   26.1697128
 -0.1814622   26.1697128
 -0.0582038  -25.8302872
  0.7401963  -25.8302872
  0.9017812  -25.8302872
  0.0033087  -25.8302872
 -1.4352630   26.1697128
 -2.9038153   26.1697128
 -3.4068427  -25.8302872
 -2.4371352  -25.8302872
 -1.6978692   26.1697128
 -2.0568132   26.1697128
 -1.7492951  -25.8302872
 -0.3666147  -25.8302872
  0.3378610   26.1697128
 -0.2840087   26.1697128
 -0.3556512   26.1697128
  0.5886469   26.1697128
  1.8053668   26.1697128
  3.4060855   26.1697128
  4.7120518   26.1697128
  5.6226415   26.1697128
  6.5769870  -25.8302872
  7.3084261  -25.8302872
  6.9454943   26.1697128
  5.2893805   26.1697128
  3.9551905  -25.8302872
  3.7658208  -25.8302872
  3.4241368   26.1697128
  2.0240489   26.1697128
  1.0655041   26.1697128
  1.5579255   26.1697128
  2.7896142   26.1697128
